ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc,Percent_paid,Deuda
17,491,0.6561839981809778,32932,18,medio,mas de 15,11958,mas de 15,mas de 20,Rent,Bachelor,Single,entre 10-20,0.28943318,0.7105668199999999,21609.45
18,358,0.096489558142692,127415,88,alto,entre 5-15,12245,menos de 5,entre 10-20,Mortgage,Masters,Married,menos de 10,0.23103149,0.76896851,12294.22
19,741,0.0457293354105406,101537,48,alto,menos de 5,10302,mas de 15,menos de 10,Mortgage,PhD,Divorced,menos de 10,0.20441972,0.79558028,4643.22
20,732,0.5323139674561232,76570,26,medio,entre 5-15,17730,entre 5-15,entre 10-20,Rent,High School,Widowed,entre 10-20,0.0,1.0,40759.28
21,445,0.6479965293874365,195998,88,medio,entre 5-15,15752,entre 5-15,entre 10-20,Rent,Masters,Married,mas de 20,0.25037527,0.7496247300000001,127006.02
22,315,0.7474985228445328,135150,88,alto,mas de 15,14396,menos de 5,mas de 20,Rent,Masters,Married,entre 10-20,0.2737526,0.7262474,101024.43
23,514,0.1651513601070592,30940,62,bajo,entre 5-15,4719,mas de 15,menos de 10,Rent,PhD,Widowed,entre 10-20,0.19453251,0.8054674900000001,5109.78
24,322,0.1458596246418831,153429,87,alto,menos de 5,19573,entre 5-15,entre 10-20,Rent,Bachelor,Single,mas de 20,0.25858483,0.74141517,22379.1
25,505,0.5056497188536334,129823,57,bajo,menos de 5,10809,mas de 15,menos de 10,Rent,Bachelor,Single,mas de 20,0.2726725,0.7273275,65644.96
26,710,0.295540978309909,86752,51,alto,mas de 15,7166,mas de 15,entre 10-20,Mortgage,Masters,Widowed,entre 10-20,0.1505349,0.8494651,25638.77
27,751,0.8436058041371607,176776,81,bajo,menos de 5,12521,entre 5-15,menos de 10,Rent,Masters,Married,menos de 10,0.19010271,0.80989729,149129.26
28,482,0.3251820464963028,69941,79,medio,menos de 5,5286,menos de 5,mas de 20,Rent,PhD,Married,entre 10-20,0.28036708,0.71963292,22743.56
29,438,0.4051900469867113,70143,41,medio,entre 5-15,19230,entre 5-15,entre 10-20,Mortgage,PhD,Single,mas de 20,0.27784255,0.72215745,28421.25
30,653,0.1322161887080187,66728,27,bajo,mas de 15,1531,entre 5-15,entre 10-20,Mortgage,High School,Single,mas de 20,0.23387972,0.76612028,8822.52
31,566,0.1990518736229523,178238,37,alto,entre 5-15,10883,menos de 5,entre 10-20,Own,Bachelor,Widowed,mas de 20,0.17812252,0.8218774799999999,35478.61
32,401,0.3834250646289798,36338,72,alto,menos de 5,8268,menos de 5,entre 10-20,Rent,High School,Divorced,entre 10-20,0.17252025,0.82747975,13932.9
33,434,0.1882449420456784,135736,21,bajo,menos de 5,9756,mas de 15,menos de 10,Mortgage,Bachelor,Single,entre 10-20,0.23427251,0.76572749,25551.62
34,379,0.7467461510813732,191177,30,alto,entre 5-15,9482,menos de 5,entre 10-20,Rent,PhD,Divorced,mas de 20,0.2719082,0.7280918000000001,142760.69
35,410,0.6919472392096694,137650,67,bajo,mas de 15,1994,mas de 15,mas de 20,Rent,High School,Widowed,menos de 10,0.23201247,0.76798753,95246.54
36,693,0.6807192600167042,77252,48,bajo,entre 5-15,5178,entre 5-15,menos de 10,Rent,Bachelor,Divorced,menos de 10,0.27697772,0.72302228,52586.92
37,556,0.6431460777780448,70900,45,medio,entre 5-15,17985,entre 5-15,mas de 20,Own,High School,Widowed,menos de 10,0.22886781,0.77113219,45599.06
38,559,0.7233995844145912,73381,31,alto,entre 5-15,11912,mas de 15,mas de 20,Mortgage,Bachelor,Married,entre 10-20,0.28837973,0.71162027,53083.78
39,563,0.2876409314253545,199627,38,medio,entre 5-15,11959,mas de 15,mas de 20,Mortgage,Masters,Divorced,menos de 10,0.17454156,0.82545844,57420.9
40,723,0.664195703063182,158617,63,medio,entre 5-15,10735,entre 5-15,menos de 10,Own,PhD,Single,entre 10-20,0.2522991,0.7477009,105352.73
41,816,0.953130150887165,125344,27,alto,mas de 15,14336,menos de 5,mas de 20,Own,Bachelor,Single,menos de 10,0.27821764,0.72178236,119469.15
42,848,0.2483777846419732,102286,29,medio,entre 5-15,4688,mas de 15,menos de 10,Own,High School,Widowed,mas de 20,0.0,1.0,25405.57
43,712,0.8502139755995428,184593,42,bajo,mas de 15,19366,entre 5-15,entre 10-20,Own,Bachelor,Married,mas de 20,0.33101743,0.66898257,156943.55
44,486,0.466930758507333,68152,67,medio,menos de 5,13102,entre 5-15,mas de 20,Mortgage,PhD,Married,mas de 20,0.29307488,0.70692512,31822.27
45,572,0.6771062884662875,171785,40,bajo,menos de 5,6852,menos de 5,mas de 20,Mortgage,Masters,Widowed,mas de 20,0.20386024,0.79613976,116316.7
46,576,0.8516264358955272,54480,78,bajo,menos de 5,2128,mas de 15,menos de 10,Mortgage,PhD,Widowed,menos de 10,0.22724588,0.77275412,46396.61
47,669,0.3159364898247295,21294,24,bajo,menos de 5,7268,entre 5-15,menos de 10,Own,Masters,Married,menos de 10,0.2417779,0.7582221,6727.55
48,828,0.3431732780464748,72326,66,alto,entre 5-15,4809,entre 5-15,mas de 20,Mortgage,High School,Divorced,menos de 10,0.16704217,0.83295783,24820.35
49,537,0.599155583773474,61921,62,bajo,entre 5-15,7718,entre 5-15,mas de 20,Rent,Masters,Divorced,mas de 20,0.25070935,0.7492906500000001,37100.31
50,620,0.8756249045826079,50048,39,alto,mas de 15,2310,menos de 5,menos de 10,Rent,High School,Single,menos de 10,0.29913753,0.70086247,43823.28
51,433,0.6888419576261036,117902,43,alto,menos de 5,17240,entre 5-15,entre 10-20,Mortgage,Masters,Divorced,menos de 10,0.15873079,0.84126921,81215.84
52,624,0.0079853559775933,152049,34,medio,entre 5-15,12710,entre 5-15,menos de 10,Rent,High School,Widowed,entre 10-20,0.0,1.0,1214.17
53,435,0.6328317139875091,125208,65,medio,entre 5-15,12065,entre 5-15,menos de 10,Own,PhD,Married,menos de 10,0.2957968,0.7042032,79235.59
54,378,0.9430324994777638,150443,43,bajo,entre 5-15,3792,entre 5-15,mas de 20,Mortgage,High School,Widowed,mas de 20,0.2746659,0.7253341,141872.64
55,508,0.5684431723612908,190015,35,alto,entre 5-15,19041,entre 5-15,entre 10-20,Own,Bachelor,Single,entre 10-20,0.253007,0.746993,108012.73
56,548,0.5053624618938327,188675,74,bajo,menos de 5,17613,entre 5-15,mas de 20,Mortgage,High School,Single,entre 10-20,0.3046622,0.6953378,95349.26
57,711,0.1831859273069311,69624,72,medio,menos de 5,18281,mas de 15,mas de 20,Mortgage,PhD,Divorced,mas de 20,0.24733055,0.75266945,12754.14
58,606,0.2955215981191724,62092,36,alto,menos de 5,9216,entre 5-15,entre 10-20,Own,Bachelor,Married,mas de 20,0.30805036,0.69194964,18349.53
59,809,0.4884441401197026,182241,78,medio,entre 5-15,12845,entre 5-15,menos de 10,Rent,High School,Single,mas de 20,0.23315966,0.76684034,89014.55
60,465,0.7798280998908452,137208,40,bajo,menos de 5,12653,entre 5-15,menos de 10,Mortgage,High School,Divorced,mas de 20,0.22236481,0.77763519,106998.65
61,647,0.7209550516737023,24313,86,alto,entre 5-15,5513,mas de 15,menos de 10,Rent,Bachelor,Divorced,menos de 10,0.27458334,0.72541666,17528.58
62,526,0.6013851424559409,20584,64,bajo,mas de 15,14853,entre 5-15,entre 10-20,Mortgage,Masters,Divorced,entre 10-20,0.25688088,0.74311912,12378.91
63,679,0.6538147268516495,187157,85,alto,entre 5-15,13986,entre 5-15,entre 10-20,Mortgage,PhD,Divorced,entre 10-20,0.19560991,0.8043900900000001,122366.0
64,617,0.8082193626974385,79635,43,medio,menos de 5,12088,menos de 5,mas de 20,Rent,Masters,Married,menos de 10,0.21388134,0.78611866,64362.55
65,349,0.9801382147500612,107833,23,medio,entre 5-15,5394,mas de 15,entre 10-20,Rent,PhD,Divorced,menos de 10,0.27222857,0.72777143,105691.24
66,498,0.0042433181208778,43174,80,alto,mas de 15,6796,entre 5-15,menos de 10,Rent,PhD,Divorced,mas de 20,0.2220848,0.7779152,183.2
67,650,0.3623388195764376,55383,38,alto,entre 5-15,6536,entre 5-15,mas de 20,Mortgage,PhD,Divorced,entre 10-20,0.21817751,0.78182249,20067.41
68,710,0.0495099287790371,149850,59,bajo,menos de 5,15006,entre 5-15,menos de 10,Own,High School,Single,menos de 10,0.18626224,0.81373776,7419.06
69,715,0.94874268392766,129259,68,bajo,menos de 5,3102,mas de 15,menos de 10,Own,Bachelor,Divorced,menos de 10,0.30409122,0.69590878,122633.53
70,685,0.0912461864297545,110153,65,alto,entre 5-15,10950,menos de 5,mas de 20,Rent,Masters,Divorced,menos de 10,0.15073611,0.84926389,10051.04
71,502,0.1230414873907888,156750,49,medio,menos de 5,13097,menos de 5,menos de 10,Own,High School,Divorced,entre 10-20,0.16858912,0.83141088,19286.75
72,848,0.623372457218943,153189,87,alto,mas de 15,1441,mas de 15,menos de 10,Mortgage,High School,Married,entre 10-20,0.25708595,0.74291405,95493.8
73,519,0.2746232160258672,166038,26,alto,mas de 15,7339,entre 5-15,entre 10-20,Mortgage,Bachelor,Divorced,menos de 10,0.19976388,0.80023612,45597.89
74,304,0.5528934241910111,25253,76,medio,menos de 5,18156,mas de 15,mas de 20,Rent,Masters,Single,entre 10-20,0.26389304,0.73610696,13962.22
75,307,0.1300695393620544,30036,20,alto,entre 5-15,7334,mas de 15,entre 10-20,Mortgage,PhD,Married,menos de 10,0.23105966,0.76894034,3906.77
76,832,0.8346771765874758,106582,82,medio,entre 5-15,5436,mas de 15,entre 10-20,Own,Masters,Married,entre 10-20,0.30862245,0.69137755,88961.56
77,795,0.9470783597902098,118965,35,bajo,entre 5-15,10348,mas de 15,entre 10-20,Rent,PhD,Divorced,entre 10-20,0.26060137,0.73939863,112669.18
78,513,0.0160844426322444,48612,29,medio,menos de 5,14277,entre 5-15,menos de 10,Rent,PhD,Widowed,mas de 20,0.17489386,0.8251061399999999,781.9
79,430,0.1644534233745708,83172,68,medio,mas de 15,19248,mas de 15,entre 10-20,Mortgage,Bachelor,Divorced,mas de 20,0.22568347,0.77431653,13677.92
80,545,0.6625196944321444,27313,34,bajo,mas de 15,18516,mas de 15,entre 10-20,Rent,High School,Married,menos de 10,0.26418963,0.73581037,18095.4
81,846,0.5537499987380119,197713,49,bajo,menos de 5,11914,entre 5-15,entre 10-20,Mortgage,High School,Divorced,entre 10-20,0.21155699,0.7884430099999999,109483.57
82,326,0.5802510788982804,37512,67,medio,entre 5-15,14572,menos de 5,entre 10-20,Own,PhD,Divorced,mas de 20,0.30769715,0.69230285,21766.38
83,603,0.549044192183183,159257,79,medio,entre 5-15,14045,menos de 5,entre 10-20,Mortgage,PhD,Widowed,entre 10-20,0.18630221,0.81369779,87439.13
84,460,0.0303563361865748,60207,41,medio,menos de 5,10571,entre 5-15,menos de 10,Mortgage,Masters,Widowed,entre 10-20,0.0,1.0,1827.66
85,845,0.8530121969599361,88958,82,alto,menos de 5,5676,entre 5-15,mas de 20,Rent,Bachelor,Widowed,entre 10-20,0.21062446,0.78937554,75882.26
86,501,0.7266214005110793,80241,84,alto,mas de 15,2963,entre 5-15,entre 10-20,Rent,Masters,Divorced,mas de 20,0.24553317,0.75446683,58304.83
87,826,0.8669612830164705,179604,25,alto,entre 5-15,16203,entre 5-15,mas de 20,Rent,PhD,Divorced,mas de 20,0.25883368,0.74116632,155709.71
88,580,0.7971624806564798,149295,62,alto,entre 5-15,7614,entre 5-15,entre 10-20,Rent,High School,Single,menos de 10,0.25099757,0.74900243,119012.37
89,492,0.3297770273331276,126235,66,alto,mas de 15,10261,mas de 15,menos de 10,Mortgage,PhD,Divorced,mas de 20,0.21020393,0.78979607,41629.4
90,402,0.1396002215544096,38703,27,medio,menos de 5,8589,menos de 5,entre 10-20,Own,PhD,Single,menos de 10,0.23788095,0.76211905,5402.95
91,682,0.9053537320733052,123540,71,medio,menos de 5,12248,entre 5-15,menos de 10,Mortgage,PhD,Divorced,entre 10-20,0.23414288,0.76585712,111847.4
92,430,0.9173449381760782,38293,47,bajo,menos de 5,15943,entre 5-15,entre 10-20,Rent,Masters,Widowed,entre 10-20,0.19379768,0.80620232,35127.89
93,556,0.4605760533573664,25140,55,medio,entre 5-15,13563,mas de 15,entre 10-20,Rent,Masters,Widowed,menos de 10,0.16753012,0.83246988,11578.88
94,844,0.5121728304538827,87135,87,alto,menos de 5,9882,menos de 5,entre 10-20,Rent,High School,Widowed,menos de 10,0.0,1.0,44628.18
95,628,0.438604323771902,76107,69,bajo,entre 5-15,15243,mas de 15,mas de 20,Rent,PhD,Widowed,menos de 10,0.22468568,0.77531432,33380.86
96,769,0.7561229105561545,143556,66,bajo,menos de 5,17575,menos de 5,entre 10-20,Own,Masters,Married,mas de 20,0.26519385,0.73480615,108545.98
97,449,0.6327302408900496,83317,37,bajo,menos de 5,19540,mas de 15,menos de 10,Rent,High School,Divorced,menos de 10,0.22746629,0.77253371,52717.19
98,380,0.5266822486359247,143315,63,alto,menos de 5,4061,mas de 15,mas de 20,Rent,PhD,Widowed,menos de 10,0.19890752,0.80109248,75481.47
99,548,0.2936328973001304,74465,83,medio,entre 5-15,1103,entre 5-15,entre 10-20,Own,Masters,Single,menos de 10,0.2754658,0.7245342,21865.37
100,795,0.8656691644766361,48183,32,alto,menos de 5,19641,entre 5-15,entre 10-20,Mortgage,PhD,Divorced,entre 10-20,0.20540613,0.79459387,41710.54
101,428,0.0231756605934341,183757,88,alto,entre 5-15,8030,entre 5-15,entre 10-20,Mortgage,Masters,Married,entre 10-20,0.23102212,0.76897788,4258.69
102,828,0.8427567358052707,138009,20,alto,menos de 5,8010,entre 5-15,mas de 20,Rent,PhD,Divorced,entre 10-20,0.25219795,0.74780205,116308.01
103,552,0.7552537380639951,26547,26,alto,mas de 15,13405,entre 5-15,menos de 10,Own,PhD,Divorced,menos de 10,0.26786217,0.73213783,20049.72
104,403,0.234076651325877,111736,76,medio,entre 5-15,10504,entre 5-15,menos de 10,Own,Bachelor,Widowed,mas de 20,0.23394087,0.76605913,26154.79
105,665,0.2416716641639195,88296,71,alto,mas de 15,7672,menos de 5,mas de 20,Own,Bachelor,Divorced,mas de 20,0.28900218,0.71099782,21338.64
106,743,0.098325106333344,173959,49,alto,mas de 15,8299,entre 5-15,menos de 10,Mortgage,High School,Widowed,mas de 20,0.0,1.0,17104.54
107,395,0.69740825050472,191132,75,medio,entre 5-15,9124,mas de 15,menos de 10,Rent,Bachelor,Divorced,menos de 10,0.25816453,0.74183547,133297.03
108,422,0.3512201035413698,77730,44,medio,mas de 15,1060,entre 5-15,entre 10-20,Own,Masters,Married,menos de 10,0.26811415,0.7318858500000001,27300.34
109,819,0.7949277174360746,74824,54,alto,entre 5-15,12968,entre 5-15,menos de 10,Own,Bachelor,Widowed,entre 10-20,0.22632706,0.77367294,59479.67
110,329,0.3067871289256907,127350,61,alto,entre 5-15,9539,entre 5-15,menos de 10,Own,PhD,Married,menos de 10,0.28862408,0.71137592,39069.34
111,756,0.2780314534204595,38731,54,alto,mas de 15,3372,mas de 15,entre 10-20,Own,Bachelor,Married,menos de 10,0.33956775,0.6604322499999999,10768.44
112,474,0.8259299089748505,185731,79,alto,entre 5-15,1676,entre 5-15,entre 10-20,Own,Masters,Single,entre 10-20,0.29663447,0.70336553,153400.79
113,701,0.7596328648237413,128946,52,alto,entre 5-15,11607,entre 5-15,mas de 20,Own,PhD,Divorced,menos de 10,0.2579685,0.7420315,97951.62
114,336,0.4606541503794322,145684,86,medio,entre 5-15,12064,mas de 15,mas de 20,Mortgage,Masters,Single,mas de 20,0.32349277,0.67650723,67109.94
115,820,0.6243855427412671,66238,23,medio,entre 5-15,9387,mas de 15,mas de 20,Own,PhD,Widowed,entre 10-20,0.22745492,0.77254508,41358.05
116,350,0.1080154750134831,137905,20,medio,entre 5-15,2801,entre 5-15,mas de 20,Own,Bachelor,Married,menos de 10,0.27148387,0.72851613,14895.87
117,665,0.319224838961889,175264,89,medio,mas de 15,13048,menos de 5,mas de 20,Mortgage,Masters,Divorced,menos de 10,0.22266361,0.77733639,55948.62
118,412,0.0988715851575031,29864,31,medio,menos de 5,2280,entre 5-15,entre 10-20,Own,PhD,Single,menos de 10,0.25000635,0.74999365,2952.7
119,671,0.3711582054017971,154366,44,bajo,entre 5-15,3856,entre 5-15,entre 10-20,Rent,High School,Married,mas de 20,0.24161264,0.75838736,57294.21
120,342,0.0269260794125715,63666,87,alto,entre 5-15,19378,entre 5-15,mas de 20,Mortgage,High School,Widowed,mas de 20,0.1641382,0.8358618,1714.28
121,587,0.5051635442564755,34557,67,alto,entre 5-15,13530,menos de 5,menos de 10,Mortgage,High School,Widowed,entre 10-20,0.15841617,0.84158383,17456.94
122,371,0.0783010341485249,175567,69,alto,menos de 5,12709,mas de 15,menos de 10,Own,PhD,Widowed,entre 10-20,0.19265912,0.80734088,13747.08
123,765,0.9438211233866144,178540,24,alto,entre 5-15,16426,menos de 5,mas de 20,Own,Masters,Widowed,mas de 20,0.18565677,0.81434323,168509.82
124,330,0.4584591345743825,121735,45,alto,menos de 5,15366,entre 5-15,menos de 10,Rent,Masters,Married,mas de 20,0.18688086,0.81311914,55810.52
125,707,0.9524587091686776,159862,68,alto,mas de 15,12186,mas de 15,mas de 20,Own,Masters,Widowed,mas de 20,0.26813108,0.7318689199999999,152261.95
126,417,0.9036094618987038,25962,44,bajo,entre 5-15,13892,entre 5-15,mas de 20,Mortgage,PhD,Married,menos de 10,0.2901146,0.7098854,23459.51
127,740,0.423896910523115,85265,46,medio,entre 5-15,5127,mas de 15,menos de 10,Mortgage,Masters,Married,menos de 10,0.25605696,0.74394304,36143.57
128,698,0.041040973437543,74016,71,medio,entre 5-15,5864,entre 5-15,menos de 10,Mortgage,High School,Single,mas de 20,0.2116919,0.7883081000000001,3037.69
129,640,0.1381412679610154,114858,64,alto,entre 5-15,11661,entre 5-15,mas de 20,Mortgage,PhD,Single,menos de 10,0.25229934,0.74770066,15866.63
130,800,0.4440193267147924,123877,84,bajo,menos de 5,7581,entre 5-15,mas de 20,Rent,Masters,Divorced,entre 10-20,0.22683194,0.7731680599999999,55003.78
131,591,0.3099429656558107,60607,60,alto,entre 5-15,19665,entre 5-15,entre 10-20,Own,High School,Single,mas de 20,0.27025664,0.7297433600000001,18784.71
132,810,0.3566282070162758,54762,81,alto,mas de 15,3896,menos de 5,menos de 10,Rent,Bachelor,Widowed,menos de 10,0.16684337,0.83315663,19529.67
133,397,0.9042669690336214,55518,43,medio,mas de 15,11927,mas de 15,mas de 20,Rent,Bachelor,Married,mas de 20,0.32149148,0.6785085200000001,50203.09
134,740,0.4609138026972603,109841,28,alto,mas de 15,18887,menos de 5,menos de 10,Own,High School,Widowed,mas de 20,0.18934397,0.81065603,50627.23
135,302,0.1142218851480243,168242,38,alto,mas de 15,9034,entre 5-15,entre 10-20,Rent,Masters,Widowed,menos de 10,0.0,1.0,19216.92
136,465,0.6058385863699303,35563,32,bajo,entre 5-15,6752,menos de 5,menos de 10,Own,High School,Widowed,entre 10-20,0.20981307,0.79018693,21545.44
137,649,0.7942570707704174,132555,87,medio,menos de 5,8447,menos de 5,menos de 10,Own,Bachelor,Divorced,mas de 20,0.275014,0.724986,105282.75
138,366,0.6685390704806142,199334,21,medio,entre 5-15,4668,mas de 15,menos de 10,Own,High School,Married,mas de 20,0.2530494,0.7469506,133262.57
139,367,0.0838835839969263,160807,44,bajo,entre 5-15,2101,entre 5-15,menos de 10,Mortgage,Bachelor,Single,menos de 10,0.25642502,0.74357498,13489.07
140,429,0.1896605799818695,174047,69,medio,mas de 15,17068,entre 5-15,menos de 10,Own,High School,Married,mas de 20,0.25299487,0.74700513,33009.85
141,784,0.5272118930890514,151381,86,bajo,mas de 15,1663,entre 5-15,mas de 20,Mortgage,Bachelor,Divorced,mas de 20,0.32156703,0.67843297,79809.86
142,415,0.8933687680097979,104787,70,bajo,menos de 5,10341,mas de 15,entre 10-20,Rent,Bachelor,Divorced,mas de 20,0.30308557,0.69691443,93613.43
143,687,0.5713179255781992,74834,52,bajo,menos de 5,17854,menos de 5,menos de 10,Own,Masters,Single,menos de 10,0.21771014,0.78228986,42754.01
144,454,0.5546951919895372,68150,20,bajo,menos de 5,5881,entre 5-15,entre 10-20,Rent,PhD,Widowed,mas de 20,0.22189732,0.7781026799999999,37802.48
145,561,0.6969307757468237,148137,27,alto,entre 5-15,12686,entre 5-15,menos de 10,Rent,Bachelor,Widowed,menos de 10,0.16969493,0.83030507,103241.23
146,761,0.0636486457110789,27381,80,medio,mas de 15,14093,mas de 15,mas de 20,Mortgage,Bachelor,Single,menos de 10,0.27892235,0.72107765,1742.76
147,349,0.4027046985769736,117670,49,alto,menos de 5,7965,mas de 15,entre 10-20,Own,High School,Single,mas de 20,0.24328353,0.75671647,47386.26
148,815,0.1862258304992665,57779,48,bajo,entre 5-15,1292,menos de 5,entre 10-20,Rent,Bachelor,Married,entre 10-20,0.28054044,0.71945956,10759.94
149,494,0.3839047460931867,91693,80,bajo,mas de 15,12511,entre 5-15,menos de 10,Rent,Masters,Single,menos de 10,0.26276863,0.7372313699999999,35201.38
150,662,0.0763236713037812,58695,50,alto,entre 5-15,10293,mas de 15,entre 10-20,Own,Masters,Divorced,menos de 10,0.20076703,0.79923297,4479.82
151,652,0.4154798253718572,45867,44,alto,entre 5-15,12431,menos de 5,mas de 20,Own,High School,Divorced,entre 10-20,0.20756453,0.79243547,19056.81
152,377,0.5278148223627023,166517,28,alto,menos de 5,7252,entre 5-15,menos de 10,Own,High School,Divorced,menos de 10,0.0,1.0,87890.14
153,599,0.6761526778042348,107712,37,alto,entre 5-15,6110,entre 5-15,menos de 10,Own,High School,Divorced,entre 10-20,0.22494088,0.77505912,72829.76
154,397,0.4041656577797266,195891,24,bajo,entre 5-15,2054,entre 5-15,entre 10-20,Mortgage,Bachelor,Widowed,menos de 10,0.22285996,0.77714004,79172.41
155,396,0.9678192052249068,113864,56,bajo,mas de 15,3940,mas de 15,menos de 10,Own,Bachelor,Married,mas de 20,0.35058016,0.64941984,110199.77
156,493,0.5201642922484228,141859,72,alto,entre 5-15,14811,entre 5-15,entre 10-20,Rent,High School,Single,mas de 20,0.27385327,0.72614673,73789.99
157,638,0.2542626232048502,75426,46,medio,entre 5-15,3149,entre 5-15,menos de 10,Mortgage,PhD,Single,mas de 20,0.24769567,0.75230433,19178.01
158,620,0.1418794670210318,64084,56,bajo,entre 5-15,2530,mas de 15,entre 10-20,Own,PhD,Single,menos de 10,0.29247084,0.70752916,9092.2
159,843,0.4366589447235491,130385,36,medio,entre 5-15,15340,mas de 15,menos de 10,Rent,Bachelor,Single,mas de 20,0.2529966,0.7470034,56933.78
160,310,0.2941898267212753,130630,74,alto,entre 5-15,15130,entre 5-15,entre 10-20,Rent,Bachelor,Widowed,menos de 10,0.21361558,0.78638442,38430.02
161,349,0.708644876816966,95313,50,medio,entre 5-15,14828,entre 5-15,menos de 10,Own,High School,Married,mas de 20,0.3153469,0.6846531,67543.07
162,596,0.7109479424276627,123316,84,medio,menos de 5,2484,mas de 15,menos de 10,Rent,PhD,Married,menos de 10,0.26987192,0.7301280800000001,87671.26
163,674,0.2064373835365233,165630,30,medio,menos de 5,1480,entre 5-15,mas de 20,Rent,PhD,Widowed,entre 10-20,0.1817857,0.8182143,34192.22
164,346,0.6970138417869318,61892,24,medio,mas de 15,3263,entre 5-15,mas de 20,Mortgage,Bachelor,Divorced,menos de 10,0.26262188,0.73737812,43139.58
165,613,0.3948511090048762,43685,45,medio,menos de 5,2537,entre 5-15,entre 10-20,Mortgage,Masters,Married,menos de 10,0.21005246,0.78994754,17249.07
166,698,0.0635818256203104,56615,88,medio,entre 5-15,2409,menos de 5,entre 10-20,Mortgage,High School,Divorced,mas de 20,0.22403656,0.77596344,3599.69
167,533,0.0100944716283225,125331,77,medio,menos de 5,3742,entre 5-15,mas de 20,Rent,Masters,Married,mas de 20,0.23288421,0.76711579,1265.15
168,377,0.6327765962515669,141702,63,bajo,mas de 15,18070,mas de 15,entre 10-20,Mortgage,PhD,Divorced,mas de 20,0.2714938,0.7285062,89665.71
169,631,0.5114192015106067,133455,34,bajo,mas de 15,6186,menos de 5,menos de 10,Mortgage,PhD,Married,entre 10-20,0.29410967,0.70589033,68251.45
170,726,0.1740462772309545,146746,43,medio,entre 5-15,12079,mas de 15,mas de 20,Mortgage,PhD,Widowed,entre 10-20,0.16069987,0.83930013,25540.59
171,805,0.4067415052915197,21146,69,alto,entre 5-15,8202,menos de 5,menos de 10,Mortgage,Bachelor,Single,entre 10-20,0.29218584,0.7078141600000001,8600.96
172,647,0.4575574932807279,64709,40,alto,entre 5-15,19264,entre 5-15,menos de 10,Own,Bachelor,Divorced,menos de 10,0.26364174,0.73635826,29608.09
